modelo,accuracy,precision,recall,f1,roc_auc
RandomForest,0.8725490196078431,0.5151515151515151,0.6296296296296297,0.5666666666666667,0.9186022180372463
SVM_RBF,0.9068627450980392,0.75,0.4444444444444444,0.5581395348837209,0.9037455534630676
GradientBoosting,0.8921568627450981,0.631578947368421,0.4444444444444444,0.5217391304347826,0.8930738648252772
LogisticRegression,0.7941176470588235,0.3684210526315789,0.7777777777777778,0.5,0.8922368696379995
Baseline (majoritaria),0.8676470588235294,0.0,0.0,0.0,
